,Quarter,Time,Tm,Detail,ARI,PHI
0,1.0,8:02,Cardinals,Cary Blanchard 42 yard field goal,3,0
1,2.0,8:52,Eagles,David Akers 38 yard field goal,3,3
2,2.0,0:19,Eagles,Jeff Thomason 1 yard pass from Donovan McNabb (David Akers kick),3,10
3,3.0,6:28,Eagles,Donovan McNabb 7 yard rush (David Akers kick),3,17
4,4.0,9:02,Eagles,David Akers 46 yard field goal,3,20
5,4.0,7:40,Eagles,Mike Caldwell 26 yard interception return (David Akers kick),3,27
6,4.0,4:43,Cardinals,David Boston 44 yard pass from Dave Brown (pass failed),9,27
7,4.0,1:57,Eagles,Darnell Autry 1 yard rush (David Akers kick),9,34
