,Quarter,Time,Tm,Detail,MIN,DEN
0,1.0,8:16,Broncos,Brandon McManus 33 yard field goal,0,3
1,2.0,11:24,Broncos,Ronnie Hillman 72 yard rush (Brandon McManus kick),0,10
2,2.0,5:57,Broncos,Brandon McManus 47 yard field goal,0,13
3,2.0,1:39,Vikings,Blair Walsh 38 yard field goal,3,13
4,2.0,0:12,Vikings,Mike Wallace 4 yard pass from Teddy Bridgewater (Blair Walsh kick),10,13
5,3.0,11:10,Broncos,Owen Daniels 1 yard pass from Peyton Manning (Brandon McManus kick),10,20
6,4.0,10:01,Vikings,Adrian Peterson 48 yard rush (Blair Walsh kick),17,20
7,4.0,5:11,Vikings,Blair Walsh 33 yard field goal,20,20
8,4.0,1:51,Broncos,Brandon McManus 39 yard field goal,20,23
