,Quarter,Tm,Detail,SDG,KAN
0,2,Chargers,Nate Lewis 6 yard pass from John Friesz (John Carney kick),7,0
1,2,Chargers,Donald Frank 71 yard interception return (John Carney kick),14,0
2,3,Chiefs,Nick Lowery 29 yard field goal,14,3
3,3,Chiefs,Barry Word 1 yard rush (Nick Lowery kick),14,10
4,4,Chiefs,Harvey Williams 16 yard pass from Mark Vlasic (Nick Lowery kick),14,17
5,4,Chargers,John Carney 27 yard field goal,17,17
6,OT,Chiefs,Nick Lowery 18 yard field goal,17,20
