,Quarter,Time,Tm,Detail,SEA,KAN
0,1.0,,Seahawks,Todd Peterson 22 yard field goal,3,0
1,1.0,,Chiefs,Pete Stoyanovich 22 yard field goal,3,3
2,2.0,0:19,Chiefs,Rich Gannon 4 yard rush (Pete Stoyanovich kick),3,10
3,3.0,0:19,Seahawks,Todd Peterson 28 yard field goal,6,10
4,3.0,0:36,Chiefs,Andre Rison 80 yard pass from Rich Gannon (Pete Stoyanovich kick),6,17
