,Quarter,Tm,Detail,CHI,PHO
0,1.0,Bears,Neal Anderson 2 yard rush (Kevin Butler kick),7,0
1,2.0,Bears,Jim Harbaugh 1 yard rush (Kevin Butler kick),14,0
2,2.0,Bears,Ron Morris 67 yard pass from Jim Harbaugh (Kevin Butler kick),21,0
3,2.0,Bears,Neal Anderson 2 yard rush (Kevin Butler kick),28,0
4,2.0,Cardinals,J.T. Smith 3 yard pass from Timm Rosenbach (Al Del Greco kick),28,7
5,3.0,Cardinals,Johnny Johnson 21 yard rush (Al Del Greco kick),28,14
6,4.0,Bears,Kevin Butler 33 yard field goal,31,14
7,4.0,Cardinals,Roy Green 40 yard pass from Timm Rosenbach (Al Del Greco kick),31,21
