,Quarter,Tm,Detail,CIN,SFO
0,2.0,49ers,Bruce Gossett 22 yard field goal,0,3
1,2.0,Bengals,Isaac Curtis 22 yard pass from Ken Anderson (Horst Muhlmann kick),7,3
2,3.0,Bengals,Ken Anderson 14 yard rush (Horst Muhlmann kick),14,3
3,4.0,Bengals,Wayne Clark 8 yard rush (Horst Muhlmann kick),21,3
