,Quarter,Tm,Detail,SFO,GNB
0,3.0,Packers,Dave Hampton 87 yard kickoff return (Mike Mercer kick),0,7
1,3.0,49ers,Clifton McNeil 80 yard pass from John Brodie (Tommy Davis kick),7,7
2,4.0,Packers,Jim Grabowski 2 yard pass from Bart Starr (Mike Mercer kick),7,14
