,Quarter,Tm,Detail,PHI,BCL
0,1.0,Colts,Billy Stone 69 yard pass from Adrian Burk (Rex Grossman kick),0,7
1,1.0,Eagles,Pete Pihos 11 yard pass from Tommy Thompson (Cliff Patton kick),7,7
2,2.0,Eagles,Jim Parmer 2 yard rush (Cliff Patton kick),14,7
3,2.0,Colts,Billy Stone 29 yard pass from Adrian Burk (Rex Grossman kick),14,14
4,4.0,Eagles,Toy Ledbetter 3 yard rush (Cliff Patton kick),21,14
5,4.0,Eagles,Cliff Patton 16 yard field goal,24,14
