,Quarter,Time,Tm,Detail,NOR,CAR
0,1.0,,Panthers,John Kasay 23 yard field goal,0,3
1,2.0,,Saints,Ray Zellars 1 yard rush (Doug Brien kick),7,3
2,2.0,,Panthers,John Kasay 40 yard field goal,7,6
3,3.0,,Panthers,John Kasay 26 yard field goal,7,9
4,3.0,,Panthers,Mark Carrier 13 yard pass from Kerry Collins (John Kasay kick),7,16
5,4.0,,Panthers,John Kasay 39 yard field goal,7,19
