,Quarter,Tm,Detail,SFO,PHI
0,1.0,49ers,Mike Lind 5 yard rush (Tommy Davis kick),7,0
1,2.0,Eagles,Sam Baker 47 yard field goal,7,3
2,2.0,49ers,Mike Lind 1 yard rush (Tommy Davis kick),14,3
3,3.0,Eagles,Pete Retzlaff 16 yard pass from Norm Snead (Sam Baker kick),14,10
4,3.0,49ers,Mike Lind 3 yard rush (Tommy Davis kick),21,10
5,4.0,Eagles,Timmy Brown 23 yard pass from Norm Snead (Sam Baker kick),21,17
6,4.0,49ers,Bernie Casey 8 yard pass from Billy Kilmer (Tommy Davis kick),28,17
7,4.0,Eagles,Tom Woodeshick 1 yard rush (Sam Baker kick),28,24
