,Quarter,Time,Tm,Detail,MIA,BUF
0,1.0,10:58,Bills,Stephen Hauschka 39 yard field goal,0,3
1,1.0,3:52,Bills,Stephen Hauschka 43 yard field goal,0,6
2,2.0,15:00,Dolphins,Kalen Ballage 3 yard rush (Jason Sanders kick),7,6
3,2.0,10:11,Bills,Stephen Hauschka 45 yard field goal,7,9
4,2.0,5:58,Dolphins,DeVante Parker 12 yard pass from Ryan Fitzpatrick (Jason Sanders kick),14,9
5,4.0,13:55,Bills,John Brown 20 yard pass from Josh Allen (Josh Allen run),14,17
6,4.0,6:36,Bills,Cole Beasley 3 yard pass from Josh Allen (Stephen Hauschka kick),14,24
7,4.0,1:54,Dolphins,Ryan Fitzpatrick 11 yard rush (Jason Sanders kick),21,24
8,4.0,1:45,Bills,Micah Hyde 45 yard kickoff return (Stephen Hauschka kick),21,31
