,Quarter,Time,Tm,Detail,SEA,TAM
0,1.0,9:13,Buccaneers,Antonio Bryant 47 yard pass from Jeff Garcia (Matt Bryant kick),0,7
1,2.0,6:32,Buccaneers,Earnest Graham 1 yard rush (Matt Bryant kick),0,14
2,2.0,3:12,Buccaneers,Matt Bryant 27 yard field goal,0,17
3,3.0,10:21,Seahawks,Olindo Mare 26 yard field goal,3,17
4,4.0,4:34,Buccaneers,Matt Bryant 27 yard field goal,3,20
5,4.0,1:55,Seahawks,John Carlson 2 yard pass from Seneca Wallace (Olindo Mare kick),10,20
