,Quarter,Time,Tm,Detail,DEN,KAN
0,1.0,9:14,Broncos,Mike Anderson 66 yard pass from Jake Plummer (Jason Elam kick),7,0
1,1.0,5:49,Chiefs,Dante Hall 41 yard pass from Trent Green (Lawrence Tynes kick),7,7
2,2.0,10:05,Chiefs,Larry Johnson 1 yard rush (Lawrence Tynes kick),7,14
3,2.0,3:27,Broncos,Mike Anderson 1 yard rush (Jason Elam kick),14,14
4,2.0,1:39,Chiefs,Tony Gonzalez 25 yard pass from Trent Green (Lawrence Tynes kick),14,21
5,2.0,0:22,Broncos,Bradlee Van Pelt 7 yard rush (Jason Elam kick),21,21
6,3.0,10:04,Chiefs,Lawrence Tynes 34 yard field goal,21,24
7,3.0,3:09,Broncos,Jason Elam 22 yard field goal,24,24
8,4.0,13:31,Broncos,Jason Elam 40 yard field goal,27,24
9,4.0,9:58,Chiefs,Larry Johnson 4 yard rush (Lawrence Tynes kick),27,31
