,Quarter,Time,Tm,Detail,MIN,CHI
0,1.0,,Vikings,Andrew Jordan 11 yard pass from Warren Moon (Fuad Reveiz kick),7,0
1,1.0,,Bears,Curtis Conway 73 yard pass from Erik Kramer (Kevin Butler kick),7,7
2,2.0,,Vikings,Robert Smith 1 yard rush (Fuad Reveiz kick),14,7
3,2.0,,Bears,Curtis Conway 5 yard pass from Erik Kramer (Kevin Butler kick),14,14
4,3.0,,Bears,Keith Jennings 2 yard pass from Erik Kramer (Kevin Butler kick),14,21
5,3.0,,Bears,Rashaan Salaam 3 yard rush (Kevin Butler kick),14,28
6,4.0,,Bears,Kevin Butler 21 yard field goal,14,31
