,Quarter,Tm,Detail,CLE,NYG
0,1.0,Giants,Ray Poole 22 yard field goal,0,3
1,2.0,Browns,Lou Groza 18 yard field goal,3,3
2,2.0,Browns,Lou Groza 17 yard field goal,6,3
3,2.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),13,3
4,3.0,Giants,Forrest Griffith 4 yard rush (Ray Poole kick),13,10
5,4.0,Giants,Joe Scott 2 yard rush (Ray Poole kick),13,17
