,Quarter,Time,Tm,Detail,ARI,WAS
0,1.0,10:52,Redskins,Stephen Davis 50 yard rush (Brett Conway kick),0,7
1,1.0,3:12,Cardinals,Chris Jacke 31 yard field goal,3,7
2,2.0,12:53,Redskins,Irving Fryar 7 yard pass from Brad Johnson (Brett Conway kick),3,14
3,2.0,0:11,Redskins,Michael Westbrook 25 yard pass from Brad Johnson (Brett Conway kick),3,21
4,4.0,2:39,Redskins,Skip Hicks 11 yard rush (Brett Conway kick),3,28
