,Quarter,Time,Tm,Detail,NYG,DAL
0,1.0,4:20,Cowboys,Emmitt Smith 1 yard rush (Tim Seder kick),0,7
1,2.0,12:37,Cowboys,Tim Seder 47 yard field goal,0,10
2,2.0,2:16,Cowboys,Tim Seder 43 yard field goal,0,13
3,3.0,2:29,Giants,Amani Toomer 33 yard pass from Kerry Collins (Brad Daluiso kick),7,13
4,4.0,8:15,Giants,Tiki Barber 13 yard rush (Brad Daluiso kick),14,13
5,4.0,1:49,Giants,Brad Daluiso 44 yard field goal,17,13
