,Quarter,Tm,Detail,OAK,BOS
0,1.0,Patriots,Charley Frazier 18 yard pass from Mike Taliaferro (Gino Cappelletti kick),0,7
1,1.0,Patriots,Jim Whalen 4 yard pass from Mike Taliaferro,0,13
2,1.0,Raiders,Warren Wells 28 yard pass from Daryle Lamonica (George Blanda kick),7,13
3,2.0,Raiders,George Blanda 25 yard field goal,10,13
4,3.0,Raiders,Fred Biletnikoff 5 yard pass from Daryle Lamonica (George Blanda kick),17,13
5,3.0,Raiders,Warren Wells 55 yard pass from Daryle Lamonica (George Blanda kick),24,13
6,3.0,Raiders,Hewritt Dixon 31 yard pass from Daryle Lamonica (George Blanda kick),31,13
7,4.0,Raiders,Larry Todd 1 yard rush (George Blanda kick),38,13
8,4.0,Patriots,Carl Garrett 1 yard pass from Mike Taliaferro (Gino Cappelletti kick),38,20
9,4.0,Patriots,Gino Cappelletti 16 yard field goal,38,23
