,Quarter,Time,Tm,Detail,BUF,NYJ
0,1.0,7:43,Jets,Josh McCown 10 yard rush (Chandler Catanzaro kick),0,7
1,2.0,14:52,Bills,Zay Jones 10 yard pass from Tyrod Taylor (Stephen Hauschka kick),7,7
2,2.0,10:26,Jets,Chandler Catanzaro 45 yard field goal,7,10
3,3.0,9:50,Jets,Robby Anderson 25 yard pass from Josh McCown (Chandler Catanzaro kick),7,17
4,3.0,4:16,Jets,Matt Forte 10 yard rush (Chandler Catanzaro kick),7,24
5,4.0,11:21,Jets,Matt Forte 5 yard rush (Chandler Catanzaro kick),7,31
6,4.0,6:42,Jets,Chandler Catanzaro 32 yard field goal,7,34
7,4.0,4:10,Bills,Deonte Thompson 26 yard pass from Tyrod Taylor (Stephen Hauschka kick),14,34
8,4.0,2:29,Bills,Tyrod Taylor 1 yard rush (Stephen Hauschka kick),21,34
