,Quarter,Tm,Detail,DAL,NOR
0,2.0,Cowboys,Bob Hayes 54 yard pass from Don Meredith (Mike Clark kick),7,0
1,2.0,Cowboys,Mike Clark 20 yard field goal,10,0
2,3.0,Saints,Charlie Durkee 38 yard field goal,10,3
3,4.0,Cowboys,Bob Hayes 13 yard pass from Don Meredith (Mike Clark kick),17,3
