,Quarter,Time,Tm,Detail,TAM,SEA
0,1,11:37,Buccaneers,Ronald Jones II 8 yard rush (Matt Gay kick),7,0
1,1,8:29,Seahawks,Tyler Lockett 19 yard pass from Russell Wilson (Jason Myers kick),7,7
2,1,0:56,Buccaneers,Breshad Perriman 15 yard pass from Jameis Winston (Matt Gay kick),14,7
3,2,4:37,Buccaneers,Mike Evans 5 yard pass from Jameis Winston (Matt Gay kick),21,7
4,2,0:34,Seahawks,Jacob Hollister 1 yard pass from Russell Wilson (Jason Myers kick failed),21,13
5,3,8:07,Seahawks,Tyler Lockett 2 yard pass from Russell Wilson (D.K. Metcalf pass from Russell Wilson ),21,21
6,3,3:22,Buccaneers,Matt Gay 41 yard field goal,24,21
7,4,14:30,Seahawks,Jason Myers 37 yard field goal,24,24
8,4,8:22,Seahawks,Jason Myers 22 yard field goal,24,27
9,4,5:27,Buccaneers,Matt Gay 45 yard field goal,27,27
10,4,4:34,Seahawks,D.K. Metcalf 53 yard pass from Russell Wilson (Jason Myers kick),27,34
11,4,0:48,Buccaneers,Dare Ogunbowale 1 yard rush (Matt Gay kick),34,34
12,OT,6:27,Seahawks,Jacob Hollister 10 yard pass from Russell Wilson,34,40
