,Quarter,Time,Tm,Detail,ATL,CAR
0,1.0,3:17,Panthers,Stephen Davis 1 yard rush (John Kasay kick),0,7
1,2.0,4:26,Panthers,Ricky Proehl 5 yard pass from Jake Delhomme (John Kasay kick),0,14
2,2.0,0:21,Panthers,John Kasay 53 yard field goal,0,17
3,4.0,14:57,Panthers,John Kasay 23 yard field goal,0,20
4,4.0,3:46,Falcons,Jay Feely 28 yard field goal,3,20
5,4.0,3:07,Panthers,John Kasay 38 yard field goal,3,23
