,Quarter,Tm,Detail,PHI,DAL
0,1.0,Cowboys,Don Perkins 1 yard rush (Danny Villanueva kick),0,7
1,1.0,Cowboys,Danny Villanueva 22 yard field goal,0,10
2,2.0,Eagles,Sam Baker 25 yard field goal,3,10
3,2.0,Cowboys,Dan Reeves 5 yard pass from Craig Morton (Danny Villanueva kick),3,17
4,3.0,Cowboys,Don Perkins 3 yard rush (Danny Villanueva kick),3,24
5,3.0,Cowboys,Dan Reeves 1 yard rush (Danny Villanueva kick),3,31
6,4.0,Eagles,Ben Hawkins 31 yard pass from Norm Snead (Sam Baker kick),10,31
7,4.0,Eagles,Joe Scarpati 67 yard interception return (Sam Baker kick),17,31
8,4.0,Cowboys,Lance Rentzel 45 yard pass from Dan Reeves (Danny Villanueva kick),17,38
