,Quarter,Tm,Detail,NYG,STL
0,1.0,Giants,Pete Gogolak 32 yard field goal,3,0
1,1.0,Giants,Homer Jones 9 yard pass from Earl Morrall (Pete Gogolak kick),10,0
2,2.0,Giants,Pete Gogolak 37 yard field goal,13,0
3,3.0,Cardinals,Johnny Roland 2 yard rush (Jim Bakken kick),13,7
4,4.0,Giants,Pete Gogolak 47 yard field goal,16,7
5,4.0,Cardinals,Bobby Joe Conrad 40 yard pass from Johnny Roland (Jim Bakken kick),16,14
6,4.0,Giants,Pete Gogolak 47 yard field goal,19,14
7,4.0,Cardinals,Billy Gambrell 30 yard pass from Charley Johnson (Jim Bakken kick),19,21
8,4.0,Cardinals,Jim Bakken 36 yard field goal,19,24
