,Quarter,Time,Tm,Detail,IND,CIN
0,1.0,5:41,Bengals,Randy Bullock 29 yard field goal,0,3
1,2.0,12:02,Colts,Adam Vinatieri 29 yard field goal,3,3
2,2.0,8:14,Colts,Jack Doyle 13 yard pass from Jacoby Brissett (Adam Vinatieri kick),10,3
3,2.0,4:36,Bengals,A.J. Green 8 yard pass from Andy Dalton (Randy Bullock kick),10,10
4,2.0,0:00,Colts,Adam Vinatieri 33 yard field goal,13,10
5,3.0,9:10,Bengals,Josh Malone 25 yard pass from Andy Dalton (Randy Bullock kick),13,17
6,3.0,2:10,Colts,Marlon Mack 24 yard pass from Jacoby Brissett (Adam Vinatieri kick),20,17
7,4.0,11:21,Colts,Adam Vinatieri 29 yard field goal,23,17
8,4.0,6:58,Bengals,Carlos Dunlap 16 yard interception return (Randy Bullock kick),23,24
