,Quarter,Time,Tm,Detail,BUF,SEA
0,1.0,10:20,Bills,Shawn Bryson 11 yard pass from Doug Flutie (Steve Christie kick),7,0
1,1.0,3:23,Bills,Peerless Price 18 yard pass from Doug Flutie (Steve Christie kick),14,0
2,1.0,3:08,Seahawks,Charlie Rogers 81 yard kickoff return (Rian Lindell kick),14,7
3,1.0,1:29,Bills,Antowain Smith 9 yard rush (Steve Christie kick),21,7
4,2.0,9:40,Seahawks,Jon Kitna 1 yard rush (Rian Lindell kick),21,14
5,2.0,1:09,Bills,Jay Riemersma 6 yard pass from Doug Flutie (Steve Christie kick),28,14
6,3.0,6:46,Seahawks,Rian Lindell 38 yard field goal,28,17
7,3.0,0:26,Bills,Antowain Smith 2 yard rush (Steve Christie kick),35,17
8,4.0,9:29,Seahawks,Ricky Watters 6 yard rush (pass failed),35,23
9,4.0,6:43,Bills,Antowain Smith 4 yard rush (Steve Christie kick),42,23
