,Quarter,Time,Tm,Detail,IND,NYJ
0,1.0,10:58,Jets,Laveranues Coles 38 yard pass from Vinny Testaverde (John Hall kick),0,7
1,1.0,6:20,Colts,Mike Vanderjagt 37 yard field goal,3,7
2,2.0,14:55,Colts,Edgerrin James 29 yard rush (Mike Vanderjagt kick),10,7
3,2.0,7:29,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),17,7
4,2.0,3:30,Jets,Curtis Martin 6 yard rush (John Hall kick),17,14
5,2.0,1:29,Colts,Jerome Pathon 21 yard pass from Peyton Manning (Mike Vanderjagt kick),24,14
6,2.0,0:20,Colts,Terrence Wilkins 78 yard punt return (Mike Vanderjagt kick),31,14
7,3.0,11:27,Jets,John Hall 22 yard field goal,31,17
8,3.0,5:46,Colts,Marcus Pollard 5 yard pass from Peyton Manning (Mike Vanderjagt kick),38,17
9,4.0,14:56,Jets,Richie Anderson 5 yard pass from Vinny Testaverde (John Hall kick),38,24
10,4.0,5:17,Colts,Chukie Nwokorie 95 yard defensive fumble return (Mike Vanderjagt kick),45,24
