,Quarter,Tm,Detail,MIA,CLE
0,1.0,Dolphins,Mark Duper 25 yard pass from Dan Marino (Pete Stoyanovich kick),7,0
1,1.0,Dolphins,Mark Higgs 7 yard rush (Pete Stoyanovich kick),14,0
2,3.0,Browns,Matt Stover 28 yard field goal,14,3
3,3.0,Dolphins,Pete Stoyanovich 22 yard field goal,17,3
4,4.0,Dolphins,Pete Stoyanovich 32 yard field goal,20,3
5,4.0,Browns,Michael Jackson 6 yard pass from Bernie Kosar (Matt Stover kick),20,10
6,4.0,Browns,David Brandon 32 yard defensive fumble return (Matt Stover kick),20,17
7,4.0,Browns,Mark Bavaro 3 yard pass from Bernie Kosar,20,23
8,4.0,Dolphins,Mark Higgs 1 yard rush (Pete Stoyanovich kick),27,23
