,Quarter,Time,Tm,Detail,CLE,BAL
0,1.0,10:15,Ravens,Willis McGahee 7 yard rush (Stephen Hauschka kick),0,7
1,1.0,1:16,Ravens,Stephen Hauschka 36 yard field goal,0,10
2,2.0,5:37,Ravens,Stephen Hauschka 33 yard field goal,0,13
3,2.0,0:55,Ravens,Willis McGahee 15 yard rush (Stephen Hauschka kick),0,20
4,3.0,7:32,Ravens,Ray Rice 9 yard rush (Stephen Hauschka kick),0,27
5,4.0,14:55,Browns,Billy Cundiff 29 yard field goal,3,27
6,4.0,8:05,Ravens,Derrick Mason 72 yard pass from Joe Flacco (Stephen Hauschka kick),3,34
