,Quarter,Tm,Detail,NYG,PIT
0,1.0,Giants,Ernie Koy 34 yard pass from Fran Tarkenton (Pete Gogolak kick),7,0
1,2.0,Steelers,Roy Jefferson 15 yard pass from Dick Shiner (Gene Mingo kick),7,7
2,2.0,Steelers,Roy Jefferson 9 yard pass from Dick Shiner (Gene Mingo kick),7,14
3,2.0,Giants,Joe Morrison 10 yard pass from Fran Tarkenton (Pete Gogolak kick),14,14
4,4.0,Steelers,Gene Mingo 41 yard field goal,14,17
5,4.0,Giants,Ernie Koy 4 yard pass from Fran Tarkenton (Pete Gogolak kick),21,17
