,Quarter,Tm,Detail,STL,DAL
0,1.0,Cowboys,Billy Joe DuPree 8 yard pass from Roger Staubach (Toni Fritsch kick),0,7
1,1.0,Cowboys,Calvin Hill 19 yard rush (Toni Fritsch kick),0,14
2,2.0,Cowboys,Toni Fritsch 24 yard field goal,0,17
3,2.0,Cowboys,Roger Staubach 1 yard rush (Toni Fritsch kick),0,24
4,3.0,Cardinals,Jim Bakken 16 yard field goal,3,24
5,3.0,Cowboys,Billy Joe DuPree 2 yard pass from Roger Staubach (Toni Fritsch kick),3,31
6,4.0,Cowboys,Golden Richards 53 yard pass from Craig Morton (Toni Fritsch kick),3,38
7,4.0,Cardinals,Donny Anderson 1 yard rush (Jim Bakken kick),10,38
8,4.0,Cowboys,Billy Joe DuPree 1 yard pass from Craig Morton (Toni Fritsch kick),10,45
