,Quarter,Tm,Detail,NYG,DET
0,2.0,Lions,Errol Mann 26 yard field goal,0,3
1,2.0,Lions,John Hilton 66 yard pass from Greg Landry (Errol Mann kick),0,10
2,2.0,Giants,Pete Gogolak 42 yard field goal,3,10
3,2.0,Lions,Errol Mann 20 yard field goal,3,13
4,2.0,Giants,Rocky Thompson 92 yard kickoff return (Pete Gogolak kick),10,13
5,3.0,Lions,Al Barnes 8 yard pass from Greg Landry (Errol Mann kick),10,20
6,4.0,Lions,Ron Jessie 11 yard pass from Greg Landry (Errol Mann kick),10,27
7,4.0,Giants,Bob Tucker 2 yard pass from Norm Snead,16,27
8,4.0,Lions,Errol Mann 38 yard field goal,16,30
