,Quarter,Tm,Detail,CHI,WAS
0,1.0,Redskins,Herb Shoener 33 yard fumble return (Dick Poillon kick),0,7
1,1.0,Bears,J.R. Boone 40 yard pass from Johnny Lujack (Johnny Lujack kick),7,7
2,2.0,Bears,George Blanda 15 yard field goal,10,7
3,2.0,Bears,Jim Keane 26 yard pass from Johnny Lujack (Johnny Lujack kick),17,7
4,2.0,Bears,Ken Kavanaugh 81 yard pass from Johnny Lujack (Johnny Lujack kick),24,7
5,3.0,Bears,Jim Keane 23 yard pass from Sid Luckman (Johnny Lujack kick),31,7
6,4.0,Redskins,Tommy Mont 30 yard pass from Sammy Baugh (Dick Poillon kick),31,14
7,4.0,Redskins,Tommy Mont 24 yard pass from Sammy Baugh (Dick Poillon kick),31,21
