,Quarter,Tm,Detail,CLE,KAN
0,1.0,Chiefs,Robb Thomas 47 yard pass from Steve DeBerg (Nick Lowery kick),0,7
1,2.0,Chiefs,Nick Lowery 39 yard field goal,0,10
2,2.0,Chiefs,Chris Martin 31 yard blocked punt return (Nick Lowery kick),0,17
3,2.0,Chiefs,Emile Harry 6 yard pass from Steve DeBerg (Nick Lowery kick),0,24
4,3.0,Chiefs,Nick Lowery 34 yard field goal,0,27
5,3.0,Chiefs,Kevin Ross 4 yard blocked punt return (Nick Lowery kick),0,34
