,Quarter,Tm,Detail,DAL,KAN
0,1.0,Chiefs,Christian Okoye 2 yard rush (Nick Lowery kick),0,7
1,1.0,Cowboys,Paul Palmer 63 yard rush (Roger Ruzek kick),7,7
2,1.0,Chiefs,Christian Okoye 13 yard rush (Nick Lowery kick),7,14
3,2.0,Chiefs,James Saxon 4 yard rush (Nick Lowery kick),7,21
4,2.0,Cowboys,James Dixon 97 yard kickoff return (Roger Ruzek kick),14,21
5,2.0,Chiefs,Nick Lowery 43 yard field goal,14,24
6,2.0,Chiefs,Nick Lowery 27 yard field goal,14,27
7,3.0,Chiefs,"Safety, McGovern blocked punt out of end zone",14,29
8,3.0,Chiefs,Steve Pelluer 5 yard rush (Nick Lowery kick),14,36
9,4.0,Cowboys,Darryl Clack 1 yard rush (Roger Ruzek kick),21,36
10,4.0,Cowboys,Steve Folsom 4 yard pass from Steve Walsh (Roger Ruzek kick),28,36
