,Quarter,Tm,Detail,SFO,RAM
0,1.0,49ers,Ray Wersching 47 yard field goal,3,0
1,2.0,Rams,Frank Corral 44 yard field goal,3,3
2,2.0,Rams,Wendell Tyler 22 yard pass from Dan Pastorini (Frank Corral kick),3,10
3,2.0,49ers,Johnny Davis 1 yard rush (Ray Wersching kick),10,10
4,2.0,Rams,Preston Dennard 7 yard pass from Mike Guman (Frank Corral kick),10,17
5,3.0,49ers,Amos Lawrence 92 yard kickoff return (Ray Wersching kick),17,17
6,3.0,49ers,Ray Wersching 34 yard field goal,20,17
7,3.0,49ers,Ronnie Lott 25 yard interception return (Ray Wersching kick),27,17
8,3.0,Rams,Walt Arnold 2 yard pass from Pat Haden (Frank Corral kick),27,24
9,4.0,49ers,Ray Wersching 32 yard field goal,30,24
10,4.0,Rams,Wendell Tyler 1 yard rush (Frank Corral kick),30,31
11,4.0,49ers,Ray Wersching 37 yard field goal,33,31
