,Quarter,Tm,Detail,MIN,RAM
0,1.0,Rams,Bruce Gossett 41 yard field goal,0,3
1,1.0,Rams,Bruce Gossett 11 yard field goal,0,6
2,2.0,Rams,Bruce Gossett 19 yard field goal,0,9
3,2.0,Rams,Dick Bass 3 yard rush (Bruce Gossett kick),0,16
4,2.0,Rams,Jack Pardee 40 yard interception return (Bruce Gossett kick),0,23
5,2.0,Rams,"Safety, Jones tackled Kapp in end zone",0,25
6,3.0,Rams,Billy Truax 32 yard pass from Roman Gabriel (Bruce Gossett kick),0,32
7,4.0,Vikings,Fred Cox 21 yard field goal,3,32
8,4.0,Rams,Bucky Pope 10 yard pass from Bill Munson (Bruce Gossett kick),3,39
