,Quarter,Time,Tm,Detail,ATL,BUF
0,1.0,9:32,Bills,Rian Lindell 36 yard field goal,0,3
1,1.0,3:44,Falcons,Dwayne Blakley 9 yard pass from Michael Vick (Todd Peterson kick),7,3
2,2.0,14:45,Bills,Rian Lindell 41 yard field goal,7,6
3,2.0,10:07,Falcons,Michael Jenkins 15 yard pass from Michael Vick (Todd Peterson kick),14,6
4,2.0,3:55,Bills,Willis McGahee 8 yard rush (Rian Lindell kick),14,13
5,2.0,0:00,Falcons,Todd Peterson 27 yard field goal,17,13
6,3.0,10:10,Bills,Rian Lindell 30 yard field goal,17,16
7,4.0,12:07,Falcons,T.J. Duckett 12 yard rush (Todd Peterson kick),24,16
