,Quarter,Tm,Detail,BUF,DAL
0,1.0,Bills,Jerry Butler 16 yard pass from Joe Ferguson (Nick Mike-Mayer kick),7,0
1,1.0,Cowboys,Doug Cosbie 12 yard pass from Danny White (Rafael Septien kick),7,7
2,2.0,Bills,Curtis Brown 9 yard pass from Joe Cribbs (Nick Mike-Mayer kick),14,7
3,3.0,Cowboys,Tony Dorsett 73 yard pass from Danny White (Rafael Septien kick),14,14
4,3.0,Cowboys,Tony Hill 37 yard pass from Danny White (Rafael Septien kick),14,21
5,3.0,Cowboys,Rafael Septien 47 yard field goal,14,24
6,3.0,Cowboys,Rafael Septien 31 yard field goal,14,27
