,Quarter,Time,Tm,Detail,JAX,BAL
0,1.0,11:15,Jaguars,Mike Hollis 36 yard field goal,3,0
1,1.0,7:49,Jaguars,Jimmy Smith 45 yard pass from Mark Brunell (Mike Hollis kick),10,0
2,1.0,2:32,Jaguars,Jimmy Smith 43 yard pass from Mark Brunell (Mike Hollis kick),17,0
3,2.0,14:48,Ravens,Travis Taylor 14 yard pass from Tony Banks (Matt Stover kick),17,7
4,2.0,3:36,Jaguars,Mike Hollis 45 yard field goal,20,7
5,2.0,0:44,Jaguars,Mike Hollis 48 yard field goal,23,7
6,3.0,13:31,Ravens,Travis Taylor 23 yard pass from Tony Banks (Ben Coates pass from Tony Banks),23,15
7,3.0,6:47,Jaguars,Mike Hollis 34 yard field goal,26,15
8,3.0,1:02,Ravens,Obafemi Ayanbadejo 5 yard pass from Tony Banks (Matt Stover kick),26,22
9,4.0,10:00,Ravens,Jermaine Lewis 12 yard pass from Tony Banks (Matt Stover kick),26,29
10,4.0,7:00,Ravens,Matt Stover 44 yard field goal,26,32
11,4.0,3:53,Jaguars,Mike Hollis 48 yard field goal,29,32
12,4.0,1:45,Jaguars,Jimmy Smith 40 yard pass from Mark Brunell (Mike Hollis kick),36,32
13,4.0,0:41,Ravens,Shannon Sharpe 29 yard pass from Tony Banks (Matt Stover kick),36,39
