,Quarter,Time,Tm,Detail,JAX,HOU
0,2.0,12:16,Texans,Andre Johnson 35 yard pass from David Carr (Kris Brown kick),0,7
1,2.0,1:10,Texans,Kris Brown 43 yard field goal,0,10
2,3.0,9:20,Jaguars,Maurice Jones-Drew 1 yard rush (Josh Scobee kick),7,10
3,4.0,11:32,Texans,Wali Lundy 2 yard rush (Kris Brown kick),7,17
4,4.0,9:57,Texans,Owen Daniels 14 yard pass from David Carr (Kris Brown kick),7,24
5,4.0,3:12,Texans,Kris Brown 21 yard field goal,7,27
