,Quarter,Time,Tm,Detail,NOR,KAN
0,1.0,,Chiefs,Pete Stoyanovich 30 yard field goal,0,3
1,2.0,,Chiefs,Pete Stoyanovich 25 yard field goal,0,6
2,2.0,,Chiefs,Tamarick Vanover 82 yard punt return (pass failed),0,12
3,3.0,,Saints,Keith Poole 32 yard pass from Billy Joe Hobert (Doug Brien kick),7,12
4,4.0,,Chiefs,Marcus Allen 3 yard rush (pass failed),7,18
5,4.0,,Chiefs,Ted Popson 3 yard pass from Rich Gannon (Pete Stoyanovich kick),7,25
6,4.0,,Saints,Keith Poole 14 yard pass from Danny Wuerffel (run failed),13,25
