,Quarter,Tm,Detail,NYG,DEN
0,1.0,Broncos,Haven Moses 4 yard pass from Steve Ramsey (Jim Turner kick),0,7
1,2.0,Broncos,Riley Odoms 4 yard pass from Steve Ramsey (Jim Turner kick),0,14
2,2.0,Giants,Jim Stienke 1 yard blocked punt return,6,14
3,3.0,Giants,Larry Csonka 1 yard rush (Joe Danelo kick),13,14
