,Quarter,Time,Tm,Detail,CHI,WAS
0,1,,Bears,Carlos Huerta 37 yard field goal,3,0
1,2,,Redskins,Scott Blanton 50 yard field goal,3,3
2,3,,Redskins,Terry Allen 28 yard rush (Scott Blanton kick),3,10
