,Quarter,Tm,Detail,KAN,SEA
0,1.0,Seahawks,Norm Johnson 23 yard field goal,0,3
1,1.0,Chiefs,Nick Lowery 25 yard field goal,3,3
2,2.0,Seahawks,Dan Ross 11 yard pass from Dave Krieg (Norm Johnson kick),3,10
3,2.0,Seahawks,Curt Warner 5 yard rush (Norm Johnson kick),3,17
4,3.0,Chiefs,Nick Lowery 35 yard field goal,6,17
5,3.0,Seahawks,Steve Largent 17 yard pass from Dave Krieg (Norm Johnson kick),6,24
