,Quarter,Time,Tm,Detail,MIA,IND
0,1.0,,Colts,Sean Dawkins 5 yard pass from Jim Harbaugh (Cary Blanchard kick),0,7
1,1.0,,Colts,Aaron Bailey 34 yard pass from Jim Harbaugh (Cary Blanchard kick),0,14
2,2.0,,Colts,Cary Blanchard 29 yard field goal,0,17
3,2.0,,Colts,Marshall Faulk 7 yard pass from Jim Harbaugh (Cary Blanchard kick),0,24
4,2.0,,Dolphins,Keith Byars 6 yard pass from Dan Marino (pass failed),6,24
5,3.0,,Dolphins,O.J. McDuffie 5 yard pass from Dan Marino (Eric Green pass from Dan Marino),14,24
6,3.0,,Colts,"Safety, Bennett sacked Marino in end zone",14,26
7,4.0,,Colts,Cary Blanchard 31 yard field goal,14,29
8,4.0,,Dolphins,Irving Fryar 5 yard pass from Dan Marino (pass failed),20,29
9,4.0,,Colts,Jim Harbaugh 1 yard rush (Cary Blanchard kick),20,36
10,4.0,,Dolphins,O.J. McDuffie 19 yard pass from Dan Marino (O.J. McDuffie pass from Dan Marino),28,36
