,Quarter,Tm,Detail,SFO,GNB
0,2.0,49ers,Mike Lind 1 yard rush (Tommy Davis kick),7,0
1,2.0,Packers,Jim Taylor 1 yard rush (Willie Wood kick),7,7
2,3.0,Packers,Paul Hornung 21 yard field goal,7,10
3,3.0,49ers,John Brodie 1 yard rush (Tommy Davis kick),14,10
4,4.0,Packers,Jim Taylor 27 yard rush (Paul Hornung kick),14,17
5,4.0,Packers,Boyd Dowler 8 yard pass from Bart Starr (Paul Hornung kick),14,24
