,Quarter,Tm,Detail,OAK,BAL
0,1,Raiders,Clarence Davis 30 yard rush (Errol Mann kick),7,0
1,2,Colts,Bruce Laird 61 yard interception return (Toni Linhart kick),7,7
2,2,Colts,Toni Linhart 36 yard field goal,7,10
3,3,Raiders,Dave Casper 8 yard pass from Ken Stabler (Errol Mann kick),14,10
4,3,Colts,Marshall Johnson 87 yard kickoff return (Toni Linhart kick),14,17
5,3,Raiders,Dave Casper 10 yard pass from Ken Stabler (Errol Mann kick),21,17
6,4,Colts,Ron Lee 1 yard rush (Toni Linhart kick),21,24
7,4,Raiders,Pete Banaszak 1 yard rush (Errol Mann kick),28,24
8,4,Colts,Ron Lee 13 yard rush (Toni Linhart kick),28,31
9,4,Raiders,Errol Mann 22 yard field goal,31,31
10,OT,Raiders,Dave Casper 10 yard pass from Ken Stabler,37,31
