,Quarter,Tm,Detail,HOU,STL
0,1.0,Cardinals,Jim Bakken 32 yard field goal,0,3
1,2.0,Cardinals,MacArthur Lane 2 yard rush (Jim Bakken kick),0,10
2,2.0,Cardinals,John Gilliam 46 yard pass from Jim Hart (Jim Bakken kick),0,17
3,2.0,Cardinals,Jim Bakken 14 yard field goal,0,20
4,3.0,Cardinals,Jim Bakken 38 yard field goal,0,23
5,3.0,Cardinals,Johnny Roland 2 yard rush (Jim Bakken kick),0,30
6,4.0,Cardinals,Dave Williams 58 yard pass from Pete Beathard (Jim Bakken kick),0,37
7,4.0,Cardinals,Don Parish 41 yard interception return (Jim Bakken kick),0,44
