,Quarter,Time,Tm,Detail,DAL,WAS
0,1.0,8:13,Redskins,Stephen Davis 7 yard rush (Michael Husted kick),0,7
1,1.0,2:32,Cowboys,Chris Warren 76 yard pass from Randall Cunningham (Tim Seder kick),7,7
2,2.0,10:45,Cowboys,Emmitt Smith 3 yard rush (Tim Seder kick),14,7
3,3.0,9:41,Cowboys,Tim Seder 32 yard field goal,17,7
4,3.0,4:37,Redskins,Stephen Davis 1 yard rush (Michael Husted kick),17,14
5,4.0,9:19,Cowboys,Jackie Harris 16 yard pass from Randall Cunningham (Tim Seder kick),24,14
6,4.0,5:34,Redskins,Mike Sellers 7 yard pass from Brad Johnson (Michael Husted kick),24,21
7,4.0,1:46,Cowboys,Tim Seder 38 yard field goal,27,21
