,Quarter,Tm,Detail,NYG,PIT
0,1.0,Steelers,Armand Niccolai 22 yard field goal,0,3
1,1.0,Giants,Andy Marefos 24 yard field goal,3,3
2,3.0,Giants,Ward Cuff 9 yard pass from Tuffy Leemans (Ward Cuff kick),10,3
3,3.0,Steelers,Walt Kichefski 72 yard pass from Boyd Brumbaugh (Armand Niccolai kick),10,10
4,3.0,Giants,Howie Yeager 53 yard pass from Marion Pugh (Andy Marefos kick),17,10
5,4.0,Giants,Jim Poole 16 yard pass from Len Eshmont (Ward Cuff kick),24,10
6,4.0,Giants,Frank Reagan 21 yard rush,30,10
7,4.0,Giants,Frank Reagan 8 yard rush (Ward Cuff kick),37,10
