,Quarter,Time,Tm,Detail,NYG,NWE
0,3.0,10:09,Giants,Lawrence Tynes 22 yard field goal,3,0
1,3.0,9:10,Giants,Brandon Jacobs 10 yard rush (Lawrence Tynes kick),10,0
2,3.0,5:29,Patriots,Stephen Gostkowski 32 yard field goal,10,3
3,4.0,14:28,Patriots,Aaron Hernandez 5 yard pass from Tom Brady (Stephen Gostkowski kick),10,10
4,4.0,7:08,Patriots,Stephen Gostkowski 45 yard field goal,10,13
5,4.0,3:03,Giants,Mario Manningham 10 yard pass from Eli Manning (Lawrence Tynes kick),17,13
6,4.0,1:36,Patriots,Rob Gronkowski 14 yard pass from Tom Brady (Stephen Gostkowski kick),17,20
7,4.0,0:15,Giants,Jake Ballard 1 yard pass from Eli Manning (Lawrence Tynes kick),24,20
