,Quarter,Tm,Detail,CLE,DAL
0,1.0,Browns,Bernie Parrish 34 yard defensive fumble return (Lou Groza kick),7,0
1,1.0,Browns,Vince Costello 30 yard defensive fumble return (Lou Groza kick),14,0
2,1.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),21,0
3,2.0,Cowboys,Jim Doran 16 yard pass from Eddie LeBaron (Dick Bielski kick),21,7
4,2.0,Browns,Lou Groza 20 yard field goal,24,7
5,2.0,Cowboys,Dick Bielski 36 yard field goal,24,10
6,4.0,Browns,Jim Brown 21 yard pass from Milt Plum (Lou Groza kick),31,10
7,4.0,Cowboys,Jim Doran 5 yard pass from Eddie LeBaron (Allen Green kick),31,17
8,4.0,Browns,Milt Plum 1 yard rush (Lou Groza kick),38,17
