,Quarter,Tm,Detail,CIN,PIT
0,1.0,Bengals,Charles Alexander 1 yard rush (Ian Sunter kick),7,0
1,1.0,Bengals,Ian Sunter 24 yard field goal,10,0
2,2.0,Bengals,Pete Johnson 28 yard pass from Ken Anderson (Ian Sunter kick),17,0
3,3.0,Steelers,Russell Davis 1 yard rush,17,6
4,3.0,Steelers,Jim Smith 13 yard pass from Terry Bradshaw (Matt Bahr kick),17,13
5,3.0,Steelers,Matt Bahr 35 yard field goal,17,16
