,Quarter,Tm,Detail,MIN,RAM
0,1.0,Rams,Jon Arnett 3 yard rush (Danny Villanueva kick),0,7
1,1.0,Rams,Ollie Matson 15 yard rush (Danny Villanueva kick),0,14
2,1.0,Vikings,Gordie Smith 29 yard pass from Fran Tarkenton (Mike Mercer kick),7,14
3,2.0,Rams,Danny Villanueva 16 yard field goal,7,17
4,2.0,Vikings,Mike Mercer 34 yard field goal,10,17
5,3.0,Vikings,Fran Tarkenton 52 yard rush (Mike Mercer kick),17,17
6,4.0,Rams,Tommy Wilson 14 yard rush (Danny Villanueva kick),17,24
7,4.0,Rams,Joe Marconi 7 yard rush (Danny Villanueva kick),17,31
