,Quarter,Tm,Detail,GNB,TAM
0,2.0,Packers,Randy Wright 6 yard rush (Al Del Greco kick),7,0
1,3.0,Packers,Gerry Ellis 2 yard rush (Al Del Greco kick),14,0
2,4.0,Packers,Paul Ott Carruth 1 yard rush (Al Del Greco kick),21,0
3,4.0,Buccaneers,Calvin Magee 9 yard pass from Steve DeBerg (Donald Igwebuike kick),21,7
