,Quarter,Time,Tm,Detail,WAS,DAL
0,2.0,,Cowboys,Richie Cunningham 34 yard field goal,0,3
1,2.0,,Cowboys,Richie Cunningham 40 yard field goal,0,6
2,3.0,,Redskins,Terry Allen 4 yard rush (Scott Blanton kick),7,6
3,4.0,,Redskins,Henry Ellard 24 yard pass from Gus Frerotte (Scott Blanton kick),14,6
4,4.0,,Cowboys,Michael Irvin 6 yard pass from Troy Aikman (Emmitt Smith pass from Troy Aikman),14,14
5,4.0,,Cowboys,Richie Cunningham 42 yard field goal,14,17
