,Quarter,Tm,Detail,PIT,WAS
0,2.0,Redskins,Steve Juzwik 2 yard rush (Steve Juzwik kick),0,7
1,3.0,Steelers,Bill Dudley 84 yard kickoff return (Jack Sanders kick),7,7
2,3.0,Steelers,Dick Riffle 1 yard rush (Jack Sanders kick),14,7
3,3.0,Redskins,Ki Aldrich 50 yard blocked field goal return (Steve Juzwik kick),14,14
4,4.0,Redskins,Steve Juzwik 39 yard rush (Steve Juzwik kick),14,21
5,4.0,Redskins,Ed Justice 3 yard pass from Sammy Baugh (Bob Masterson kick),14,28
