,Quarter,Time,Tm,Detail,DAL,NYG
0,1.0,,Cowboys,Emmitt Smith 60 yard rush (Chris Boniol kick),7,0
1,2.0,,Cowboys,Michael Irvin 7 yard pass from Troy Aikman (Chris Boniol kick),14,0
2,2.0,,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),21,0
3,3.0,,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),28,0
4,4.0,,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),35,0
