,Quarter,Time,Tm,Detail,WAS,NYG
0,1.0,9:25,Redskins,Stephen Davis 1 yard rush (Brett Conway kick),7,0
1,1.0,4:39,Redskins,Stephen Davis 1 yard rush (Brett Conway kick),14,0
2,1.0,1:36,Redskins,Stephen Davis 19 yard rush (Brett Conway kick),21,0
3,2.0,11:10,Giants,Charles Way 7 yard rush (Brad Daluiso kick),21,7
4,2.0,3:15,Redskins,Shawn Barber 70 yard interception return,27,7
5,2.0,2:16,Giants,LeShon Johnson 11 yard rush (Brad Daluiso kick),27,14
6,2.0,0:06,Redskins,Stephen Alexander 1 yard pass from Brad Johnson (run failed),33,14
7,3.0,10:04,Redskins,Brett Conway 48 yard field goal,36,14
8,3.0,8:26,Redskins,Michael Westbrook 15 yard pass from Brad Johnson (Brett Conway kick),43,14
9,4.0,11:13,Redskins,Stephen Alexander 27 yard pass from Brad Johnson (Brett Conway kick),50,14
10,4.0,7:12,Giants,Ike Hilliard 7 yard pass from Kent Graham (Brad Daluiso kick),50,21
