,Quarter,Tm,Detail,NYJ,ATL
0,2.0,Jets,Al Toon 59 yard pass from Ken O'Brien (Pat Leahy kick),7,0
1,2.0,Jets,Wesley Walker 46 yard pass from Ken O'Brien (Pat Leahy kick),14,0
2,2.0,Jets,Wesley Walker 16 yard pass from Ken O'Brien (Pat Leahy kick),21,0
3,3.0,Jets,Freeman McNeil 3 yard rush (Pat Leahy kick),28,0
4,3.0,Falcons,Arthur Cox 20 yard pass from David Archer (Mick Luckhurst kick),28,7
5,4.0,Falcons,Ken Whisenhunt 23 yard pass from David Archer (Mick Luckhurst kick),28,14
