,Quarter,Tm,Detail,DAL,SFO
0,1.0,49ers,Ray Wersching 30 yard field goal,0,3
1,1.0,Cowboys,Rafael Septien 23 yard field goal,3,3
2,2.0,Cowboys,Rafael Septien 51 yard field goal,6,3
3,2.0,49ers,O.J. Simpson 1 yard rush (Ray Wersching kick),6,10
4,3.0,Cowboys,Drew Pearson 22 yard pass from Roger Staubach (Rafael Septien kick),13,10
5,4.0,Cowboys,Billy Joe DuPree 13 yard pass from Roger Staubach,19,10
6,4.0,49ers,Ray Wersching 44 yard field goal,19,13
7,4.0,Cowboys,"Safety, Martin tackled DeBerg in end zone",21,13
