,Quarter,Tm,Detail,NYG,WAS
0,1.0,Giants,Bob Schnelker 27 yard pass from Charlie Conerly (Ben Agajanian kick),7,0
1,1.0,Giants,Ben Agajanian 14 yard field goal,10,0
2,1.0,Giants,Herb Johnson 5 yard rush (Ben Agajanian kick),17,0
3,2.0,Redskins,Billy Wells 68 yard rush (Ralph Felton kick),17,7
4,2.0,Giants,Ken MacAfee 23 yard pass from Charlie Conerly (Ben Agajanian kick),24,7
5,2.0,Redskins,Ed Barker 32 yard pass from Jack Scarbath (Ralph Felton kick),24,14
6,2.0,Giants,Bob Schnelker 20 yard pass from Charlie Conerly (Ben Agajanian kick),31,14
7,3.0,Giants,Ben Agajanian 21 yard field goal,34,14
8,3.0,Redskins,Ed Barker 7 yard pass from Jack Scarbath (Ralph Felton kick),34,21
9,4.0,Giants,Ben Agajanian 27 yard field goal,37,21
10,4.0,Giants,Bob Schnelker 6 yard pass from Charlie Conerly (Charlie Conerly run),44,21
11,4.0,Giants,Dick Wilkins 2 yard pass from Bob Clatterbuck (Ben Agajanian kick),51,21
