,Quarter,Tm,Detail,GNB,DET
0,1.0,Lions,Errol Mann 50 yard field goal,0,3
1,3.0,Lions,Errol Mann 16 yard field goal,0,6
2,4.0,Lions,Charlie Sanders 13 yard pass from Greg Landry (Errol Mann kick),0,13
3,4.0,Lions,Lem Barney 49 yard interception return (Errol Mann kick),0,20
